,overall_acc,avg_per_class_acc,avg_jacc,avg_dice,pc_opa,pc_j,pc_d
0,0.7087826132774353,0.5218763947486877,0.3585605025291443,0.4597342908382416,0.850613,0.8226376,0.90268916
1,,,,,0.460428,0.15004982,0.2609449
2,,,,,0.6316065,0.24766605,0.39700696
3,,,,,0.014751835,0.008489462,0.016835995
4,,,,,0.6519824,0.56395966,0.7211946
