,overall_acc,avg_per_class_acc,avg_jacc,avg_dice,pc_opa,pc_j,pc_d
0,0.5905880331993103,0.5177485942840576,0.3224930167198181,0.4275793433189392,0.91509974,0.8602826,0.9248945
1,,,,,0.4825634,0.18240178,0.3085276
2,,,,,0.29439232,0.17897926,0.30361733
3,,,,,0.52052903,0.046154838,0.08823711
4,,,,,0.3761585,0.34464654,0.5126203
